municipality,county,population,Allow Consumption Site,area,nhcs,notes,type,x1,x2,labels,zip,,AD,,
Belmont,Allegany,911,No,3,6,Decision as of: 12/20/2021,Village,Niagara,2,0,,,No,,
Birdsall,Allegany,224,Yes,93,6,Correspondence with Town,Town,Oneida,3,1,,,Yes,,
Bolivar,Allegany,"2,088",Yes,93,6,Correspondence with Town,Town,Onondaga,3,1,,,Yes,,
Bolivar,Allegany,"2,088",No,93,6,Decision as of: 11/15/2021,Village,Ontario,2,0,,,No,,
Burns,Allegany,"1,106",Yes,70,6,Correspondence with Town,Town,Orange,2,1,,,Yes,,
Canaseraga,Allegany,513,Yes,3,6,Correspondence with Village,Village,Orleans,2,1,,,Yes,,
Caneadea,Allegany,"2,285",No,94,6,Decision as of: 7/8/2021,Town,Oswego,3,0,,,No,,
Centerville,Allegany,"5,412",Yes,13,6,Correspondence wth Town,Town,Otsego,5,1,,,Yes,,
Clarksville,Allegany,"1,108",No,94,6,Decision as of: 12/29/2021,Town,Putnam,2,0,,,No,,
Cuba,Allegany,"3,100",No,93,6,Decision as of: 12/30/2021,Town,Queens,1,1,,,Yes,,
Cuba,Allegany,"3,100",Yes,93,6,Decision as of: 12/13/2021,Village,Rensselaer,3,1,,,Yes,,
Friendship,Allegany,"1,884",No,94,6,Decision as of: 9/15/2021,Town,Richmond,1,0,,,No,,
Genesee,Allegany,"1,608",Yes,94,6,Correspondence with Town,Town,Rockland,2,1,,,Yes,,
Granger,Allegany,511,No,83,6,Decision as of: 11/15/2021; Correspondence with Town,Town,St. Lawrence,5,0,,,No,,
Grove,Allegany,522,Yes,87,6,Correspondence with Town,Town,Saratoga,3,1,,,Yes,,
Hume,Allegany,"1,986",No,99,6,Decision as of: 10/13/2021,Town,Schenectady,3,0,,,No,,
Independence,Allegany,"6,064",No ,16,6,Decision as of: 9/9/2021,Town,Schoharie,3,0,,,No,,
New Hudson,Allegany,767,No,94,6,Decision as of: 12/30/2021,Town,Schuyler,6,0,,,No,,
Richburg,Allegany,425,Yes,2,6,Correspondence with Village,Village,Seneca,5,1,,,Yes,,
Rushford,Allegany,"1,111",No,93,6,Decision as of: 9/13/2021,Town,Steuben,5,0,,,No,,
Scio,Allegany,"1,723",Yes,92,6,Decision as of: 12/8/2021,Town,Suffolk,2,1,,,Yes,,
Ward,Allegany,351,Yes,76,6,Correspondence with Town,Town,Sullivan,6,1,,,Yes,,
Wellsville,Allegany,"7,089",Yes,95,6,Correspondence with Town,Town,Tioga,4,1,,,Yes,,
Wellsville,Allegany,"7,089",No,95,6,Decision as of: 11/22/2021,Village,Tompkins,4,0,,,No,,
West Almond,Allegany,324,Yes,94,6,Correspondence with Town,Town,Ulster,4,1,,,Yes,,
Willing,Allegany,"1,157",No,94,6,Decision as of: 8/19/2021,Town,Warren,4,0,,,No,,
Wirt,Allegany,"1,050",Yes,93,6,Decision as of: 11/8/2021,Town,Washington,4,1,,,Yes,,
Barker,Broome,"2,614",No,1,4,Decision as of: 11/8/2021,Town,Wayne,2,0,,,No,,
Binghamton,Broome,"47,969",Yes,29,4,Correspondence with City,City,Westchester,2,1,,,Yes,,
Binghamton,Broome,"47,969",Yes,29,4,Decision as of 9/21/2021,Town,Wyoming,6,1,,,Yes,,
Chenango,Broome,"10,596",Yes,89,4,"Decision as of: 7/28/2021—""At the last Board meeting we talked about whether or not the Town wanted to move forward to opting out and we decided that we are not opting out.""",Town,Yates,2,1,,,Yes,,
Colesville,Broome,"5,092",Yes,205,4,Correspondence with Town,Town,,,1,,,Yes,,
Conklin,Broome,"5,008",Yes,65,4,Decision as of: 12/14/2021,Town,,,1,,,Yes,,
Deposit,Broome,"1,585",Yes,116,4,"Decision as of: 5/11/2021—""A motion was made by Trustee Durning and seconded by Trustee Price to not opt out of having marijuana retail in the Village in December. Motion passed unanimously.""; also located in Delaware County",Village,,,1,,,Yes,,
Dickinson,Broome,"5,054",Yes,13,4,Correspondence with Town,Town,,,1,,,Yes,,
Endicott,Broome,"13,667",No,8,4,Correspondence with Village,Village,,,1,,,Yes,,
Fenton,Broome,"6,293",No,87,4,Decision as of: 11/17/2021,Town,,,0,,,No,,
Johnson City,Broome,"15,343",Yes,12,4,Correspondence with Village,Village,,,1,,,Yes,,
Kirkwood,Broome,"5,528",No,81,4,Decision as of: 8/3/2021,Town,,,0,,,No,,
Lisle,Broome,"2,677",Yes,122,4,Correspondence with Town,Town,,,1,,,Yes,,
Maine,Broome,"5,120",Yes,119,4,Correspondence with Town,Town,,,1,,,Yes,,
Nanticoke,Broome,"1,591",No,63,4,Decision as of: 10/12/2021,Town,,,0,,,No,,
Port Dickinson,Broome,"1,539",Yes,2,4,Correspondence with Village,Village,,,1,,,Yes,,
Sanford,Broome,"2,305",Yes,236,4,Correspondence with Town,Town,,,1,,,Yes,,
Triangle,Broome,"2,799",Yes,103,4,Decision as of: 12/9/2021—motion to opt out ended in tie,Town,,,1,,,Yes,,
Union,Broome,"53,251",No,93,4,Decision as of: 12/15/2021 (on-site consumption),Town,,,1,,,Yes,,
Vestal,Broome,"28,199",Yes,136,4,Correspondence with Town,Town,,,1,,,Yes,,
Whitney Point,Broome,901,Yes,3,4,Decision as of: 9/8/2021,Village,,,1,,,Yes,,
Windsor,Broome,"5,804",No,241,4,Decision as of: 10/6/2021,Town,,,0,,,No,,
Allegany,Cattaraugus,"7,597",Yes,185,5,Correspondence with Town,Town,,,1,,,Yes,,
Allegany,Cattaraugus,"7,597",Yes,185,5,Decision as of: 7/12/2021—Resolution to approve sales,Village,,,1,,,Yes,,
Ashford,Cattaraugus,"1,974",No,134,5,Decision as of: 8/18/2021,Town,,,0,,,No,,
Carrollton,Cattaraugus,"1,214",No,110,5,Decision as of: 12/21/2021,Town,,,0,,,No,,
Cattaraugus,Cattaraugus,996,Yes,3,5,Correspondence with Village,Village,,,1,,,Yes,,
Coldspring,Cattaraugus,661,No,135,5,Decision as of: 11/4/2021,Town,,,0,,,No,,
Conewango,Cattaraugus,"1,794",No,94,5,Decsion as of: 12/21/2021,Town,,,0,,,No,,
Dayton,Cattaraugus,"1,689",No,94,5,Decision as of: 11/10/2021,Town,,,0,,,No,,
Delevan,Cattaraugus,"1,064",No,3,5,Decision as of: 11/2/2021,Village,,,0,,,No,,
East Otto,Cattaraugus,977,No,105,5,Decision as of: 11/9/2021,Town,,,0,,,No,,
Ellicottville,Cattaraugus,"1,317",Yes,117,5,Decision as: 9/16/2021 Orlean Times Herald reporting ,Town,,,1,,,Yes,,
Ellicottville,Cattaraugus,"1,317",Yes,117,5,Decision as of: 9/16/2021 Orlean Times Herald reporting,Village,,,1,,,Yes,,
Farmersville,Cattaraugus,"1,081",No,124,5,Decision as of: 10/18/2021,Town,,,0,,,No,,
Franklinville,Cattaraugus,"2,811",No,135,5,Decision as of: 10/12/2021,Town,,,0,,,No,,
Freedom,Cattaraugus,"2,405",Yes,107,5,"Decision as of: 11/15/21—""The Town Board decided not to opt out.""",Town,,,1,,,Yes,,
Gowanda,Cattaraugus,"2,512",No,4,5,Decision as of: 12/14/2021; also located in Erie County,Village,,,0,,,No,,
Great Valley,Cattaraugus,"1,997",No,129,5,Decsion as of: 10/11/2021 (on-site consumption),Town,,,1,,,Yes,,
Hinsdale,Cattaraugus,"2,119",Yes,100,5,Correspondence with Town,Town,,,1,,,Yes,,
Humphrey,Cattaraugus,701,No,96,5,Decision as of: 10/12/2021 ,Town,,,0,,,No,,
Ischua,Cattaraugus,734,No,84,5,Correspondence with Town,Town,,,0,,,No,,
Leon,Cattaraugus,"1,253",Yes,94,5,Correspondence with Town,Town,,,1,,,Yes,,
Little Valley,Cattaraugus,"1,672",Yes,77,5,Correspondence with Town,Town,,,1,,,Yes,,
Little Valley,Cattaraugus,"1,672",Yes,77,5,Correspondence with Village,Village,,,1,,,Yes,,
Lyndon,Cattaraugus,686,Yes,86,5,Correspondence with Town,Town,,,1,,,Yes,,
Machias,Cattaraugus,"2,309",Yes,106,5,Correspondence with Town,Town,,,1,,,Yes,,
Mansfield,Cattaraugus,843,No,104,5,Decision as of: 7/19/2021,Town,,,0,,,No,,
Napoli,Cattaraugus,"1,173",Yes,95,5,Correspondence with Town,Town,,,1,,,Yes,,
New Albion,Cattaraugus,"1,990",Yes,93,5,Correspondence with Town,Town,,,1,,,Yes,,
Olean,Cattaraugus,"1,890",Yes,77,5,Correspondence with City,City,,,1,,,Yes,,
Olean,Cattaraugus,"1,890",Yes,77,5,Correspondence with Town,Town,,,1,,,Yes,,
Otto,Cattaraugus,775,Yes,85,5,Correspondence with Town,Town,,,1,,,Yes,,
Perrysburg,Cattaraugus,"1,515",No,74,5,Decision as of: 11/8/2021,Town,,,0,,,No,,
Persia,Cattaraugus,"2,203",No,54,5,Decision as of: 7/8/2021,Town,,,0,,,No,,
Portville,Cattaraugus,"3,551",No,93,5,Decision as of: 11/9/2021,Town,,,0,,,No,,
Portville,Cattaraugus,"3,551",No,93,5,Decision as of: 12/20/2021,Village,,,0,,,No,,
Randolph,Cattaraugus,"2,470",No,94,5,Decision as of : 10/13/2021 (on-site consumption only),Town,,,1,,,Yes,,
Red House,Cattaraugus,30,*,145,5, ,Town,,,0,,,*,,
Salamanca,Cattaraugus,470,Yes,48,5,Decision as of: 9/14/2021; Correspondence with Town,Town,,,1,,,Yes,,
South Dayton,Cattaraugus,564,No,3,5,Decision as of: 9/8/2021,Village,,,0,,,No,,
South Valley,Cattaraugus,250,No,96,5,Decision as of: 9/8/2021,Town,,,0,,,No,,
Yorkshire,Cattaraugus,"3,840",Yes,94,5,Correspondence with Town,Town,,,1,,,Yes,,
Auburn,Cayuga,"26,866",Yes,22,5,Reporting by The Citizen,City,,,1,,,Yes,,
Aurelius,Cayuga,"2,664",Yes,83,5,Correspondence with Town,Town,,,1,,,Yes,,
Aurora,Cayuga,717,No,2,5,Decision as of: 9/15/2021,Village,,,0,,,No,,
Brutus,Cayuga,"4,272",No,58,5,Decision as of: 9/13/2021,Town,,,0,,,No,,
Cato,Cayuga,"2,449",No,94,5,Decision as of: 12/7/2021,Town,,,0,,,No,,
Cato,Cayuga,"2,449",No,94,5,Correspondence with Village,Village,,,0,,,No,,
Cayuga,Cayuga,521,Yes,3,5,Correspondence with Village,Village,,,1,,,Yes,,
Conquest,Cayuga,"1,734",No,94,5,Decision as of: 11/15/2021,Town,,,0,,,No,,
Fair Haven,Cayuga,760,No,8,5,The Citizen reporting,Village,,,0,,,No,,
Fleming,Cayuga,"2,557",No,63,5,Decision as of: 9/13/2021,Town,,,0,,,No,,
Genoa,Cayuga,"1,933",No,112,5,Decision as of: 11/23/2021,Town,,,0,,,No,,
Ira,Cayuga,"2,210",No,90,5,Decision as of: 10/6/2021,Town,,,0,,,No,,
Ledyard,Cayuga,"1,830",No,126,5,Decision as of: 11/8/2021,Town,,,0,,,No,,
Locke,Cayuga,"1,896",No,63,5,Decision as of: 11/4/2021,Town,,,0,,,No,,
Mentz,Cayuga,"2,279",No,45,5,Decision as of: 8/17/2021,Town,,,0,,,No,,
Montezuma,Cayuga,"1,231",Yes,48,5,Decision as of: 12/21/2021,Town,,,1,,,Yes,,
Moravia,Cayuga,"3,453",Yes,77,5,Decision as of: 11/17/2021,Town,,,1,,,Yes,,
Moravia,Cayuga,"3,453",No,77,5,Decision as of: 12/27/2021,Village,,,0,,,No,,
Niles,Cayuga,"1,161",No,112,5,Decision as of: 8/12/2021,Town,,,0,,,No,,
Owasco,Cayuga,"3,649",Yes,61,5,Correspondence with Town,Town,,,1,,,Yes,,
Port Byron,Cayuga,"1,198",No,3,5,Decision as of: 8/9/2021,Village,,,0,,,No,,
Scipio,Cayuga,"1,633",No,102,5,Decision as of: 12/29/2021,Town,,,0,,,No,,
Sempronius,Cayuga,938,Yes,77,5,Correpondence with Town,Town,,,1,,,Yes,,
Sennett,Cayuga,"3,421",No,75,5,Decision as of: 12/16/2021,Town,,,0,,,No,,
Springport,Cayuga,"2,286",No,70,5,Decision as of: 7/12/2021,Town,,,0,,,No,,
Sterling,Cayuga,"3,026",Yes,122,5,Decision as of: 8/24/2021,Town,,,1,,,Yes,,
Summerhill,Cayuga,"1,183",No,67,5,Decision as of: 11/9/2021,Town,,,0,,,No,,
Throop,Cayuga,"1,942",Yes,48,5,Correspondece with Town,Town,,,1,,,Yes,,
Union Springs,Cayuga,"1,159",No,5,5,Decision as of: 11/16/2021,Village,,,0,,,No,,
Venice,Cayuga,"1,365",No,107,5,Decision as of: 12/28/2021,Town,,,0,,,No,,
Victory,Cayuga,"77,861",Yes,89,5,Correspondence with Town,Town,,,1,,,Yes,,
Weedsport,Cayuga,"1,722",No,3,5,Decision as of: 12/8/2021,Village,,,0,,,No,,
Arkwright,Chautauqua,"1,000",Yes,93,5,"Decision as of: 9/13/2021 - ""Voted not to opt out.""",Town,,,1,,,Yes,,
Bemus Point,Chautauqua,312,No,1,5,Decision as of: 8/17/2021,Village,,,0,,,No,,
Brocton,Chautauqua,"1,335",No,4,5,Decision as of: 10/2021,Village,,,0,,,No,,
Busti,Chautauqua,"7,521",No,124,5,Decision as of: 8/2/2021,Town,,,0,,,No,,
Carroll,Chautauqua,"3,350",No,86,5,Decision as of: 8/11/2021,Town,,,0,,,No,,
Cassadaga,Chautauqua,569,No,3,5,Decision as of: 8/25/2021,Village,,,0,,,No,,
Celoron,Chautauqua,"1,082",No,2,5,Decision as of: 9/13/2021,Village,,,0,,,No,,
Charlotte,Chautauqua,"1,521",No,94,5,Decision as of: 11/3/2021,Town,,,0,,,No,,
Chautauqua,Chautauqua,"4,017",No,174,5,Decision as of: 9/13/2021,Town,,,0,,,No,,
Cherry Creek,Chautauqua,"1,036",No,95,5,Decision as of: 10/11/2021,Town,,,0,,,No,,
Clymer,Chautauqua,"1,748",No,94,5,Decision as of: 6/8/2021,Town,,,0,,,No,,
Dunkirk,Chautauqua,"12,743",Yes,12,5,Decision as of: 12/7/2021,City,,,1,,,Yes,,
Dunkirk,Chautauqua,"12,743",Yes,12,5,Correspondence with Town,Town,,,1,,,Yes,,
Ellery,Chautauqua,"4,105",No,123,5,Decision as of: 9/9/2021,Town,,,0,,,No,,
Ellicott,Chautauqua,"8,771",No,79,5,Decision as of: 8/16/2021,Town,,,0,,,No,,
Ellington,Chautauqua,"1,493",No,95,5,Decision as of: 8/11/2021,Town,,,0,,,No,,
Falconer,Chautauqua,"2,284",No,3,5,Decision as of: 9/13/2021,Village,,,0,,,No,,
Fredonia,Chautauqua,"9,871",Yes,13,5,Decision as of: 11/15/2021,Village,,,1,,,Yes,,
French Creek,Chautauqua,997,No,94,5,Decision as of: 9/13/2021,Town,,,0,,,No,,
Gerry,Chautauqua,"1,789",No,94,5,Decision as of: 8/12/2021,Town,,,0,,,No,,
Hanover,Chautauqua,"6,944",No,128,5,Decision as of: 7/12/2021,Town,,,0,,,No,,
Harmony,Chautauqua,"2,108",No,118,5,Decision as of: 9/8/2021,Town,,,0,,,No,,
Jamestown,Chautauqua,"28,712",Yes,24,5,Decision as of 12/8/2021,City,,,1,,,Yes,,
Kiantone,Chautauqua,"1,388",No,48,5,Decision as of: 10/7/2021,Town,,,0,,,No,,
Lakewood,Chautauqua,"2,993",No,5,5,Decision as of: 8/23/2021,Village,,,0,,,No,,
Mayville,Chautauqua,"1,477",No,5,5,Decision as of: 11/9/2021,Village,,,0,,,No,,
Mina,Chautauqua,"1,004",No,94,5,Decision as of: 12/16/2021 (on-site consumption only),Town,,,1,,,Yes,,
North Harmony,Chautauqua,"2,182",No,109,5,Decision as of: 11/8/2021,Town,,,0,,,No,,
Panama,Chautauqua,465,No,6,5,Decision as of: 10/5/2021  ,Village,,,0,,,No,,
Poland,Chautauqua,480,No,1,5,Decision as of: 9/14/2021,Town,,,0,,,No,,
Pomfret,Chautauqua,"13,236",Yes,114,5,Correspondence with Town,Town,,,1,,,Yes,,
Portland,Chautauqua,28,No,3,5,Decision as of: 8/11/2021,Town,,,0,,,No,,
Ripley,Chautauqua,"2,310",No,127,5,Decision as of: 11/9/2021,Town,,,0,,,No,,
Sheridan,Chautauqua,"2,563",No,97,5,Observer reporting,Town,,,0,,,No,,
Sherman,Chautauqua,"1,618",No,94,5,Decision as of: 9/2/2021,Town,,,0,,,No,,
Sherman,Chautauqua,681,Yes,2,5,Decision as of: 11/3/2021,Village,,,1,,,Yes,,
Silver Creek,Chautauqua,"2,637",No,3,5,Decision as of: 11/15/2021,Village,,,0,,,No,,
Sinclairville,Chautauqua,578,No,4,5,Decision as of: 8/4/2021,Village,,,0,,,No,,
Stockton,Chautauqua,"2,036",No,123,5,Decision as of 11/9/2021,Town,,,0,,,No,,
Villenova,Chautauqua,"1,053",No,94,5,Decision as of: 10/13/2021,Town,,,0,,,No,,
Westfield,Chautauqua,"4,545",Yes,122,5,Correspondence with Town,Town,,,1,,,Yes,,
Westfield,Chautauqua,"2,993",Yes,10,5,Correspondence with Town,Village,,,1,,,Yes,,
Ashland,Chemung,"1,510",No,38,4,Decision as of: 8/12/2021 (on-site consumption only),Town,,,1,,,Yes,,
"Baldwin, NY",Chemung,818,No,26,4,Decision as of: 12/8/2021,Town,,,0,,,No,,
Big Flats,Chemung,"7,595",No,117,4,Decision as of: 11/17/2021,Town,,,0,,,No,,
Catlin,Chemung,"2,569",No,98,4,Decision as of: 12/9/2021,Town,,,0,,,No,,
Chemung,Chemung,"2,462",No,129,4,Decision as of: 8/11/2021,Town,,,0,,,No,,
Elmira,Chemung,"26,523",Yes,20,4,WIVT reporting,City,,,1,,,Yes,,
Elmira,Chemung,"26,523",No,20,4,Decision as of: 10/18/2021,Town,,,0,,,No,,
Elmira Heights,Chemung,"3,849",No,3,4,Decision as of: 12/7/2021,Village,,,0,,,No,,
Erin,Chemung,"1,861",No,115,4,Decision as of: 12/8/2021,Town,,,0,,,No,,
Horseheads,Chemung,"19,029",No,93,4,Decision as of: 12/8/2021,Town,,,1,,,Yes,,
Horseheads,Chemung,"6,606",No,10,4,Decision as of: 7/12/2021; Public Hearing held: 12/14/2021 (on-site consumption only),Village,,,1,,,Yes,,
Millport,Chemung,292,Yes,1,4,Correspondence with Village,Village,,,1,,,Yes,,
Southport,Chemung,"9,997",No,121,4,Decision as of: 9/14/2021,Town,,,0,,,No,,
Van Etten,Chemung,"1,480",No,108,4,Decision as of: 12/2/2021  ,Town,,,0,,,No,,
Veteran,Chemung,"3,177",No,100,4,Decision as of: 7/16/2021; Referendum affirmed to opt out: 11/2/2021,Town,,,0,,,No,,
Wellsburg,Chemung,540,No,1,4,Decision as of: 11/10/2021 (on-site consumption),Village,,,1,,,Yes,,
Afton,Chenango,"2,779",No,121,6,Decision as of: 11/11/2021,Town,,,0,,,No,,
Afton,Chenango,"2,779",No,121,6,Decision as of: 6/14/2021,Village,,,0,,,No,,
Bainbridge,Chenango,"3,170",No,90,6,Decision as of 12/28/2021 (on-site consumption),Town,,,1,,,Yes,,
Bainbridge,Chenango,"3,170",Yes,90,6,Correspondence with Village,Village,,,1,,,Yes,,
Columbus,Chenango,929,Yes,97,6,Correspondence with Town,Town,,,1,,,Yes,,
Coventry,Chenango,"1,565",Yes,127,6,Correspondence with Town,Town,,,1,,,Yes,,
Earlville,Chenango,809,Yes,3,6,Corespondence with Village,Village,,,1,,,Yes,,
German,Chenango,352,Yes,74,6,Correspondence with Town,Town,,,1,,,Yes,,
Greene,Chenango,"5,084",No,196,6,Decision as of: 10/13/2021,Town,,,0,,,No,,
Greene,Chenango,"5,084",No,196,6,Decision as of: 10/11/2021,Village,,,0,,,No,,
Guilford,Chenango,"2,803",No,161,6,Decision as of: 9/22/2021,Town,,,0,,,No,,
Lincklaen,Chenango,386,Yes,68,6,Correspondence with Town,Town,,,1,,,Yes,,
McDonough,Chenango,861,Yes,103,6,Correspondence with Town,Town,,,1,,,Yes,,
New Berlin,Chenango,"2,542",No,121,6,Decision as of: 8/9/2021,Town,,,0,,,No,,
New Berlin,Chenango,"2,542",No,121,6,Decision as of: 6/8/2021,Village,,,0,,,No,,
North Norwich,Chenango,"1,714",Yes,73,6,Correspondence with Town,Town,,,1,,,Yes,,
Norwich,Chenango,"6,644",No,6,6,Decision as of: 11/1/2021 (on-site consumption only),City,,,1,,,Yes,,
Norwich,Chenango,"3,698",No,109,6,Decision as of: 12/29/2021,Town,,,0,,,No,,
Otselic,Chenango,"1,006",No,98,6,Decision as of: 11/9/2021,Town,,,0,,,No,,
Oxford,Chenango,"3,701",No,156,6,Decision as of: 12/8/2021 ,Town,,,0,,,No,,
Oxford,Chenango,1337,Yes,2,6,Decision as of: 9/28/2021; Referendum overturned  opt out: 11/30/2021 ,Village,,,1,,,Yes,,
Pharsalia,Chenango,569,Yes,101,6,Correspondence with Town,Town,,,1,,,Yes,,
Pitcher,Chenango,780,No,74,6,Correspondence with Town,Town,,,0,,,No,,
Plymouth,Chenango,"1,753",Yes,110,6,Correspondence with Town,Town,,,1,,,Yes,,
Preston,Chenango,991,Yes,91,6,Decision as of: 8/11/2021,Town,,,1,,,Yes,,
Shelburne,Chenango,"1,644",No,9,6,Decision as of: 8/11/2021,Town,,,0,,,No,,
Sherburne,Chenango,"3,839",No,113,6,Decision as of: 8/16/2021,Village,,,0,,,No,,
Smithville,Chenango,"1,275",No,132,6,Decision as of: 9/20/2021,Town,,,0,,,No,,
Smyrna,Chenango,"1,236",No,109,6,Decision as of: 9/14/2021,Town,,,0,,,No,,
Smyrna,Chenango,"1,236",No,109,6,Correspondence with Village,Village,,,0,,,No,,
Altona,Clinton,"2,900",Yes,262,5,Correspondence with Town,Town,,,1,,,Yes,,
"AuSable, NY",Clinton,3050,Yes,44,5,Correspondence with Town,Town,,,1,,,Yes,,
Beekmantown,Clinton,"5,477",Yes,180,5,Correspondence with Town,Town,,,1,,,Yes,,
Black Brook,Clinton,"1,465",Yes,348,5,Correspondence with Town,Town,,,1,,,Yes,,
Champlain,Clinton,"5,620",Yes,152,5,Correspondence with Town,Town,,,1,,,Yes,,
Champlain,Clinton,"5,620",No,152,5,Correspondence with Village,Village,,,1,,,Yes,,
Chazy,Clinton,"4,180",No,159,5,Decision as of: 12/21/2021,Town,,,0,,,No,,
Clinton,Clinton,"2,683",Yes,4,5,Correspondence with Town,Town,,,1,,,Yes,,
Dannemora,Clinton,"4,650",Yes,171,5,Correspondence with Town,Town,,,1,,,Yes,,
Dannemora,Clinton,"3,703",Yes,3,5,Correspondence with Village,Village,,,1,,,Yes,,
Ellenburg,Clinton,"1,684",Yes,278,5,Coorespondence with Town,Town,,,1,,,Yes,,
Mooers,Clinton,"3,589",Yes,228,5,Correspondence with Town,Town,,,1,,,Yes,,
Peru,Clinton,"6,772",Yes,239,5,Correspondence with Town,Town,,,1,,,Yes,,
Plattsburgh,Clinton,"19,841",Yes,17,5,Correspondence with City,City,,,1,,,Yes,,
Plattsburgh,Clinton,"11,886",Yes,177,5,Correspondence wih Town,Town,,,1,,,Yes,,
Rouses Point,Clinton,"2,195",No,6,5,Decision as of: 12/20/2021,Village,,,0,,,No,,
Saranac,Clinton,"3,910",Yes,300,5,Correspondence with Town,Town,,,1,,,Yes,,
Schuyler Falls,Clinton,"5,108",Yes,95,5,Correspondence with Town,Town,,,1,,,Yes,,
Ancram,Columbia,"1,489",No,111,5,Decision as of: 10/21/2021 (on-site consumption only),Town,,,1,,,Yes,,
Austerlitz,Columbia,"1,591",Yes,126,5,"Decision as of 8/19/2021—""The Town Board consensus is not to opt out of the new cannabis regulations.""",Town,,,1,,,Yes,,
Canaan,Columbia,"1,615",No,96,5,Decision as of: 12/13/2021,Town,,,0,,,No,,
Chatham,Columbia,"3,852",No,139,5,Decision as of: 12/28/2021 (on-site consumption only),Town,,,1,,,Yes,,
Chatham,Columbia,"1,635",No,3,5,Decision as of: 11/8/2021,Village,,,0,,,No,,
Claverack,Columbia,"5,676",No,124,5,Decision as of: 12/9/2021 (on-site consumption only),Town,,,1,,,Yes,,
Clermont,Columbia,"1,873",No,50,5,Decision as of: 11/1/2021,Town,,,0,,,No,,
Copake,Columbia,"3,419",No,109,5,Decision as of: 11/11/2021 (dispensaries only); 12/9/2021 (on-site consumption only),Town,,,1,,,Yes,,
Gallatin,Columbia,"1,595",Yes,103,5,Correspondence with Town,Town,,,1,,,Yes,,
